Client Code,Code,Name,last time stock,latest stock,sold,Price,Period
GH98907,1002114,SHOCK ABSORBER FR RH HONDA CRV 2002 RD5 (SHIELD),3,3,0,265,2025/11/20-2025/12/17
GH98673,1002114,SHOCK ABSORBER FR RH HONDA CRV 2002 RD5 (SHIELD),6,6,0,265,
GH98816,1002114,SHOCK ABSORBER FR RH HONDA CRV 2002 RD5 (SHIELD),2,2,0,265,
GH98816,1002115,SHOCK ABSORBER FR LH HONDA CRV 2002 RD5 (SHIELD),2,2,0,240,
GH98907,1002115,SHOCK ABSORBER FR LH HONDA CRV 2002 RD5 (SHIELD),3,3,0,240,
GH98673,1002115,SHOCK ABSORBER FR LH HONDA CRV 2002 RD5 (SHIELD),6,6,0,265,
GH98673,1002121,SHOCK ABSORBER NISSAN MARCH 1996 K11 FR RH SHIELD,7,7,0,265,
GH98673,1002122,SHOCK ABSORBER NISSAN MARCH 1996 K11 FR LH (SHIELD),7,7,0,265,
GH98673,1002138,SHOCK ABSORBER BACK RH CARINA E AT211(SHIELD),0,0,0,265,
GH98907,1002138,SHOCK ABSORBER BACK RH CARINA E AT211(SHIELD),0,0,0,240,
GH98816,1002138,SHOCK ABSORBER BACK RH CARINA E AT211(SHIELD),2,1,1,240,
GH98907,1002143,SHOCK ABSORBER BACK LH CARINA E AT211(SHIELD),0,0,0,240,
GH98673,1002143,SHOCK ABSORBER BACK LH CARINA E AT211(SHIELD),0,0,0,265,
GH98816,1002143,SHOCK ABSORBER BACK LH CARINA E AT211(SHIELD),2,1,1,265,
GH98673,1002146,SHOCK ABSORBER COROLLA AE100 FR RH(GOR),3,3,0,265,
GH98907,1002146,SHOCK ABSORBER COROLLA AE100 FR RH(GOR),13,13,0,265,
GH98816,1002148,SHOCK ABSORBER FR RH COROLLA 2002 AE110  (SHIELD),7,5,2,240,
GH98673,1002148,SHOCK ABSORBER FR RH COROLLA 2002 AE110  (SHIELD),0,0,0,285,
GH98907,1002148,SHOCK ABSORBER FR RH COROLLA 2002 AE110  (SHIELD),3,3,0,315,
